Country Name,Country Code,Year,Proportion of seats held by women in national parliaments (%),ID,Economy,Code,Region,Income group,WBL Report Year,WBL INDEX,MOBILITY,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman choose where to live in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,Can women work in jobs deemed dangerous in the same way as men?,Are women able to work in the same industries as men?,MARRIAGE,Is there no legal provision that requires a married woman to obey her husband?,"Can a woman be ""head of household"" or ""head of family"" in the same way as a man?",Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,Does the law prohibit discrimination in access to credit based on gender?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Are periods of absence from work due to childcare accounted for in pension benefits?
Angola,AGO,2007,0.15,AGO2007,Angola,AGO,Sub-Saharan Africa,Lower middle income,2007,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2008,0.372727273,AGO2008,Angola,AGO,Sub-Saharan Africa,Lower middle income,2008,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2009,0.386363636,AGO2009,Angola,AGO,Sub-Saharan Africa,Lower middle income,2009,65,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Angola,AGO,2010,0.386363636,AGO2010,Angola,AGO,Sub-Saharan Africa,Lower middle income,2010,65,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2011,0.381818182,AGO2011,Angola,AGO,Sub-Saharan Africa,Lower middle income,2011,65,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2012,0.340909091,AGO2012,Angola,AGO,Sub-Saharan Africa,Lower middle income,2012,65,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2013,0.340909091,AGO2013,Angola,AGO,Sub-Saharan Africa,Lower middle income,2013,67.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2014,0.368181818,AGO2014,Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,67.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2015,0.368181818,AGO2015,Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,67.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2016,0.368181818,AGO2016,Angola,AGO,Sub-Saharan Africa,Lower middle income,2016,67.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2017,0.304545455,AGO2017,Angola,AGO,Sub-Saharan Africa,Lower middle income,2017,70,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2018,0.304545455,AGO2018,Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,73.1,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Angola,AGO,2019,0.3,AGO2019,Angola,AGO,Sub-Saharan Africa,Lower middle income,2019,73.1,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,Yes,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,Yes,No,No
Albania,ALB,1997,,ALB1997,Albania,ALB,Europe & Central Asia,Upper middle income,1997,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,1998,,ALB1998,Albania,ALB,Europe & Central Asia,Upper middle income,1998,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,1999,0.051612903,ALB1999,Albania,ALB,Europe & Central Asia,Upper middle income,1999,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2000,0.051612903,ALB2000,Albania,ALB,Europe & Central Asia,Upper middle income,2000,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2001,0.057142857,ALB2001,Albania,ALB,Europe & Central Asia,Upper middle income,2001,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2002,0.057142857,ALB2002,Albania,ALB,Europe & Central Asia,Upper middle income,2002,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2003,0.057142857,ALB2003,Albania,ALB,Europe & Central Asia,Upper middle income,2003,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2004,0.064285714,ALB2004,Albania,ALB,Europe & Central Asia,Upper middle income,2004,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2005,0.071428571,ALB2005,Albania,ALB,Europe & Central Asia,Upper middle income,2005,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2006,0.071428571,ALB2006,Albania,ALB,Europe & Central Asia,Upper middle income,2006,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2007,0.071428571,ALB2007,Albania,ALB,Europe & Central Asia,Upper middle income,2007,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2008,0.071428571,ALB2008,Albania,ALB,Europe & Central Asia,Upper middle income,2008,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2009,0.164285714,ALB2009,Albania,ALB,Europe & Central Asia,Upper middle income,2009,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2010,0.164285714,ALB2010,Albania,ALB,Europe & Central Asia,Upper middle income,2010,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2011,0.157142857,ALB2011,Albania,ALB,Europe & Central Asia,Upper middle income,2011,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2012,0.157142857,ALB2012,Albania,ALB,Europe & Central Asia,Upper middle income,2012,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2013,0.178571429,ALB2013,Albania,ALB,Europe & Central Asia,Upper middle income,2013,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2014,0.2,ALB2014,Albania,ALB,Europe & Central Asia,Upper middle income,2014,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2015,0.207142857,ALB2015,Albania,ALB,Europe & Central Asia,Upper middle income,2015,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2016,0.228571429,ALB2016,Albania,ALB,Europe & Central Asia,Upper middle income,2016,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2017,0.278571429,ALB2017,Albania,ALB,Europe & Central Asia,Upper middle income,2017,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2018,0.278571429,ALB2018,Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Albania,ALB,2019,0.295081967,ALB2019,Albania,ALB,Europe & Central Asia,Upper middle income,2019,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
United Arab Emirates,ARE,1997,0,ARE1997,United Arab Emirates,ARE,Middle East & North Africa,High income,1997,17.5,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
United Arab Emirates,ARE,1998,0,ARE1998,United Arab Emirates,ARE,Middle East & North Africa,High income,1998,17.5,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
United Arab Emirates,ARE,1999,0,ARE1999,United Arab Emirates,ARE,Middle East & North Africa,High income,1999,17.5,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
United Arab Emirates,ARE,2000,0,ARE2000,United Arab Emirates,ARE,Middle East & North Africa,High income,2000,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2001,0,ARE2001,United Arab Emirates,ARE,Middle East & North Africa,High income,2001,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2002,0,ARE2002,United Arab Emirates,ARE,Middle East & North Africa,High income,2002,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2003,0,ARE2003,United Arab Emirates,ARE,Middle East & North Africa,High income,2003,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2004,0,ARE2004,United Arab Emirates,ARE,Middle East & North Africa,High income,2004,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2005,0,ARE2005,United Arab Emirates,ARE,Middle East & North Africa,High income,2005,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2006,0.05,ARE2006,United Arab Emirates,ARE,Middle East & North Africa,High income,2006,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2007,0.225,ARE2007,United Arab Emirates,ARE,Middle East & North Africa,High income,2007,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2008,0.225,ARE2008,United Arab Emirates,ARE,Middle East & North Africa,High income,2008,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2009,0.225,ARE2009,United Arab Emirates,ARE,Middle East & North Africa,High income,2009,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2010,0.225,ARE2010,United Arab Emirates,ARE,Middle East & North Africa,High income,2010,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2011,0.175,ARE2011,United Arab Emirates,ARE,Middle East & North Africa,High income,2011,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2012,0.175,ARE2012,United Arab Emirates,ARE,Middle East & North Africa,High income,2012,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2013,0.175,ARE2013,United Arab Emirates,ARE,Middle East & North Africa,High income,2013,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2014,0.175,ARE2014,United Arab Emirates,ARE,Middle East & North Africa,High income,2014,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2015,0.225,ARE2015,United Arab Emirates,ARE,Middle East & North Africa,High income,2015,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2016,0.225,ARE2016,United Arab Emirates,ARE,Middle East & North Africa,High income,2016,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
United Arab Emirates,ARE,2017,0.225,ARE2017,United Arab Emirates,ARE,Middle East & North Africa,High income,2017,26.9,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,0,No,No,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,100,Yes,Yes,Yes,Yes
